Experiment,Optimizer,Learning_Rate,Batch_Size,Accuracy,Precision,Recall,F1,Execution_Time,Fold_Number
5,SGD,0.01,32,0.9166666666666666,0.923542332025769,0.9207203392844123,0.9199879504509861,426.62761092185974,5
6,Adam,0.01,32,0.4523809523809524,0.43069809694764016,0.44687453622041345,0.41952213982887504,431.8419625759125,1
23,Adam,0.001,32,0.3952380952380952,0.39506274939961455,0.413293859054093,0.3749928391966043,600.4993650913239,3
4,SGD,0.01,32,0.8976190476190476,0.9011226015467277,0.9031443996131611,0.897989271525847,455.65379786491394,4
55,Adam,1e-05,32,0.8642857142857143,0.8682276375790051,0.8655120514224797,0.862126224572308,614.1660642623901,5
50,SGD,1e-05,32,0.7738095238095238,0.7928793337674236,0.7950298847569198,0.7828344223058256,610.171778678894,5
12,AdamW,0.01,32,0.47619047619047616,0.46425309765940753,0.4864621326806392,0.45515170874718053,611.7649688720703,2
49,SGD,1e-05,32,0.7857142857142857,0.7946745008488402,0.7948905116813203,0.7867329709414418,624.9560568332672,4
2,SGD,0.01,32,0.8666666666666667,0.8613270050178498,0.8659980816633799,0.8595307230772521,641.5496556758881,2
20,SGD,0.001,32,0.919047619047619,0.9249186805449745,0.9245019622161325,0.9235929543147514,651.920211315155,5
58,AdamW,1e-05,32,0.85,0.8514641524999582,0.848505468749974,0.8458190821139555,654.8251850605011,3
33,SGD,0.0001,32,0.9476190476190476,0.9508753751154189,0.9482432370354703,0.9481207409580458,734.6824722290039,3
27,AdamW,0.001,32,0.5619047619047619,0.5495037169572774,0.5576468005125284,0.5461119931365419,596.0835068225861,2
31,SGD,0.0001,32,0.9357142857142857,0.9313020824468882,0.9370626746920743,0.9312652378941694,577.4839355945587,1
19,SGD,0.001,32,0.9261904761904762,0.930569130594706,0.9342595085172116,0.9300976128161297,629.6500709056854,4
57,AdamW,1e-05,32,0.8666666666666667,0.8595010524145863,0.8683449260942387,0.8604626040886811,571.5329732894897,2
53,Adam,1e-05,32,0.8357142857142857,0.8331255353396382,0.8392732640290474,0.8308037741271489,604.9726324081421,3
3,SGD,0.01,32,0.819047619047619,0.8233181938023005,0.8288976876467482,0.8165827628406929,444.5494821071625,3
,2
28,AdamW,0.001,32,0.5071428571428571,0.5037926392475169,0.48480340580392545,0.4828256313491127,581.3304705619812,3
29,AdamW,0.001,32,0.4714285714285714,0.48072668388098905,0.4559922202423994,0.45285473114934927,622.2226297855377,4
36,Adam,0.0001,32,0.7571428571428571,0.7516166841386058,0.7507280005693399,0.7452951241476576,688.760532617569,1
56,AdamW,1e-05,32,0.8690476190476191,0.868367841432937,0.8649848615166482,0.8636458555000273,596.9501075744629,1
41,AdamW,0.0001,32,0.7714285714285715,0.763108998089512,0.7634095958344078,0.7571017165230117,724.7517335414886,1

1,SGD,0.01,32,0.8738095238095238,0.8677320270472748,0.8759728510504907,0.8663145976871498,727.4278659820557,1
39,Adam,0.0001,32,0.8,0.8042471964743918,0.8196806011439486,0.802224083101088,681.9957156181335,4
60,AdamW,1e-05,32,0.8285714285714286,0.8366837114693169,0.8373850781012342,0.833085492566268,711.7664308547974,5
37,Adam,0.0001,32,0.8380952380952381,0.833876266615099,0.8418147070184422,0.8329461266625334,687.4598205089569,2
7,Adam,0.01,32,0.4714285714285714,0.4624778662129391,0.4819930493688441,0.46025430787554616,778.6377122402191,2
11,AdamW,0.01,32,0.49047619047619045,0.4818465033953404,0.4675787602182074,0.4589881721914114,1004.7945110797882,1
43,AdamW,0.0001,32,0.7619047619047619,0.7653227683762941,0.7720292561469032,0.7572523994920696,707.8326725959778,3
40,Adam,0.0001,32,0.7595238095238095,0.7751498626787393,0.7713866392704981,0.7656188213556296,677.7504119873047,5
34,SGD,0.0001,32,0.9095238095238095,0.9145514553016684,0.91569550897282,0.9139828538708192,718.6150782108307,4
38,Adam,0.0001,32,0.7833333333333333,0.7876488639102817,0.784555335922725,0.7782328793839571,735.1834282875061,3
,5
59,AdamW,1e-05,32,0.861904761904762,0.8628590404101912,0.8667860251970545,0.8601105790248947,617.9362726211548,4
24,Adam,0.001,32,0.4357142857142857,0.4498219293573087,0.4619552370492221,0.443577321873698,1140.4942123889923,4
46,SGD,1e-05,32,0.7857142857142857,0.7881173453469763,0.7877528668605623,0.7726034724846892,964.6740474700928,1
44,AdamW,0.0001,32,0.8023809523809524,0.8020072119475359,0.8059726840391865,0.7989864433166342,970.8487048149109,4
16,SGD,0.001,32,0.9428571428571428,0.9440974855083976,0.9446643373335103,0.9415018953821233,1023.9993567466736,1
13,AdamW,0.01,32,0.4452380952380952,0.46248419096701887,0.48623800355540225,0.450181949437529,883.2822592258453,3
51,Adam,1e-05,32,0.8642857142857143,0.8616533724285521,0.8614825186909972,0.8581733534935362,890.5208582878113,1
22,Adam,0.001,32,0.5166666666666667,0.500780216924622,0.5100758799973107,0.4978860002607431,1006.2836625576019,2
15,AdamW,0.01,32,0.4642857142857143,0.49013211579464155,0.4748727856115891,0.47346494939822364,902.9225330352783,5
54,Adam,1e-05,32,0.8738095238095238,0.8820742733317329,0.8823191992996454,0.8775204987287059,906.2259957790375,4
45,AdamW,0.0001,32,0.7714285714285715,0.7872652971072934,0.7800819154526953,0.7769358754644231,964.6306843757629,5
18,SGD,0.001,32,0.9452380952380952,0.9401214813819854,0.9426556619831528,0.9389086286069711,977.4867250919342,3
52,Adam,1e-05,32,0.8428571428571429,0.8369065494352977,0.8419864839977623,0.833612242499008,1065.133595943451,2
14,AdamW,0.01,32,0.3595238095238095,0.3674816209492254,0.39801218790624066,0.3537159379899741,1682.679615020752,4
48,SGD,1e-05,32,0.7595238095238095,0.7695452919859204,0.765805727121885,0.7499996120974783,1371.7838184833527,3
1,SGD,0.01,32,0.8023809523809524,0.7949784519508062,0.7962690314835864,0.7881297463011081,434.27004075050354,1
43,AdamW,0.0001,32,0.7452380952380953,0.7469550648880207,0.7432378942184705,0.7307224606163996,435.718558549881,3
42,AdamW,0.0001,32,0.7357142857142858,0.7315276869209495,0.7458632599532917,0.7295745842041179,435.88787627220154,2
44,AdamW,0.0001,32,0.7857142857142857,0.787431453488572,0.7881043074328798,0.7820263387189511,444.4556303024292,4
52,Adam,1e-05,32,0.8809523809523809,0.8810616569860266,0.8789290026622487,0.877048772948932,317.96326875686646,2
11,AdamW,0.01,32,0.45714285714285713,0.44428446845783337,0.4893927786084648,0.4473278624235739,384.3477416038513,1
10,Adam,0.01,32,0.3880952380952381,0.420245535231097,0.4214177868032453,0.401762062448753,392.77999806404114,5
6,Adam,0.01,32,0.45476190476190476,0.4421047775100265,0.4718426711416298,0.4367363940971602,558.6091847419739,1
5,SGD,0.01,32,0.7547619047619047,0.7674967723646485,0.7561188145955443,0.7584053403438329,430.08426547050476,5
34,SGD,0.0001,32,0.930952380952381,0.9384226423697865,0.9367562606948797,0.9361621686962168,595.0929491519928,4
40,Adam,0.0001,32,0.5952380952380952,0.6225386959829043,0.6377402594375173,0.6095507534256969,598.0688347816467,5
12,AdamW,0.01,32,0.4880952380952381,0.4759839016237364,0.4791278448495283,0.46373279730120115,598.7085452079773,2
16,SGD,0.001,32,0.9380952380952381,0.9384315050525013,0.9387064370085382,0.9361904230838763,614.8778593540192,1
51,Adam,1e-05,32,0.85,0.8542208630352585,0.8442140195421256,0.8452947991286217,599.9045224189758,1
37,Adam,0.0001,32,0.780952380952381,0.7770154207350137,0.7898490735325469,0.7776694306936056,618.6182942390442,2
2,SGD,0.01,32,0.5476190476190477,0.537309510903422,0.5481783592941603,0.5303497953322862,607.9330797195435,2
58,AdamW,1e-05,32,0.8595238095238096,0.8600788344458421,0.8539307014351314,0.8509781547504602,619.191015958786,3
7,Adam,0.01,32,0.4642857142857143,0.45305226822254674,0.47991749879461487,0.43820958383071473,638.245411157608,2
3,SGD,0.01,32,0.6666666666666666,0.674190110319997,0.6554494397013098,0.6550240876805284,614.1499855518341,3
3
54,Adam,1e-05,32,0.8333333333333334,0.8271934494888459,0.8389440211514417,0.8274819238362757,624.6473617553711,4
55,Adam,1e-05,32,0.8333333333333334,0.8436959234147858,0.8436553025312167,0.8399424075538601,622.5553267002106,5
26,AdamW,0.001,32,0.5166666666666667,0.5026994453739065,0.4933798156943936,0.49269131439593583,641.3877613544464,1
57,AdamW,1e-05,32,0.8428571428571429,0.8401134113046247,0.8463314738441894,0.8395766094401379,633.1331467628479,2
9,Adam,0.01,32,0.4261904761904762,0.4389214904006038,0.44881187446592313,0.43352171837383224,649.1237180233002,4
38,Adam,0.0001,32,0.8,0.7987570602038998,0.7923351323996675,0.7909466774618814,668.7861993312836,3
25,Adam,0.001,32,0.47619047619047616,0.5023692801130961,0.48168647760801103,0.4791202242396923,660.8188831806183,5
27,AdamW,0.001,32,0.5023809523809524,0.49285714533908553,0.4977817372526381,0.4874212356241199,676.1124739646912,2
45,AdamW,0.0001,32,0.8047619047619048,0.81523625263464,0.8187152314281146,0.8137052346519728,676.9230864048004,5
13,AdamW,0.01,32,0.48333333333333334,0.49161331246460954,0.47541977403085556,0.45890485767611916,701.0845491886139,3
23,Adam,0.001,32,0.5047619047619047,0.5001308485963217,0.4656159027434326,0.47294155947044764,690.4995613098145,3
39,Adam,0.0001,32,0.7904761904761904,0.7912654520497658,0.7963781218417167,0.7892129347412149,694.339305639267,4
36,Adam,0.0001,32,0.7714285714285715,0.7560674330540973,0.76739996522018,0.7515401102211138,700.7010462284088,1
41,AdamW,0.0001,32,0.7976190476190477,0.7906732004086164,0.8054997299244426,0.7870675857360011,703.6084537506104,1
46,SGD,1e-05,32,0.780952380952381,0.7905826068702089,0.7885124422391502,0.7730290598116205,693.3070282936096,1
31,SGD,0.0001,32,0.9404761904761905,0.9377267398519377,0.9413425665526505,0.9366776203698512,714.224152803421,1
30,AdamW,0.001,32,0.4857142857142857,0.5117707605274348,0.49638495169602337,0.48467971594597226,726.4304668903351,5
35,SGD,0.0001,32,0.9142857142857143,0.9204967880101366,0.920704450058076,0.9174930211499696,746.8728294372559,5
29,AdamW,0.001,32,0.39285714285714285,0.40127818544058963,0.4138951530743094,0.38290775363498936,757.235152721405,4
24,Adam,0.001,32,0.4595238095238095,0.4741982271777668,0.46818576868799927,0.46302851121558486,760.6468253135681,4
8,Adam,0.01,32,0.45476190476190476,0.45389095582829586,0.43905975820041104,0.41934269766920773,779.1505618095398,3
48,SGD,1e-05,32,0.8285714285714286,0.8366180487937888,0.8330046944294257,0.8193797850733588,684.5159330368042,3
59,AdamW,1e-05,32,0.8333333333333334,0.8312014838591992,0.8392442058070483,0.828218583836118,915.7481212615967,4
14,AdamW,0.01,32,0.41904761904761906,0.42822383987771884,0.4441733268096971,0.42790744340671694,920.4604830741882,4
28,AdamW,0.001,32,0.47619047619047616,0.47026820944248776,0.4841810482943421,0.4580250570280294,990.0752983093262,3
49,SGD,1e-05,32,0.780952380952381,0.8000522230445504,0.8017273644432821,0.7788554324904859,991.8795700073242,4
15,AdamW,0.01,32,0.4380952380952381,0.46511605663153005,0.45680159231566425,0.4476711601231045,1019.1490614414215,5
32,SGD,0.0001,32,0.9095238095238095,0.9100864285107984,0.9063406111304543,0.9061444232827324,1053.271934747696,2
22,Adam,0.001,32,0.4666666666666667,0.4621355352348274,0.5062845628930659,0.4580676046203566,1109.7752077579498,2
19,SGD,0.001,32,0.9261904761904762,0.931564362826085,0.9264494617256156,0.9275871810042275,1170.6252686977386,4
4,SGD,0.01,32,0.9,0.9015690052582637,0.9058150081725512,0.9012684808152999,739.5282294750214,4
56,AdamW,1e-05,32,0.8571428571428571,0.8564180994853264,0.8561934877005641,0.8514934285642569,767.9939112663269,1
60,AdamW,1e-05,32,0.8285714285714286,0.8395681581927089,0.8414644316224512,0.8312516603348957,892.2414410114288,5
20,SGD,0.001,32,0.9261904761904762,0.9315319009666292,0.9284576150378588,0.9270744654243182,893.4755494594574,5
50,SGD,1e-05,32,0.7642857142857142,0.7860547062440384,0.8057900943791866,0.7707467347837147,963.4896833896637,5
17,SGD,0.001,32,0.919047619047619,0.9178009890825016,0.9163889404592483,0.9132320107921574,963.8699479103088,2
47,SGD,1e-05,32,0.8071428571428572,0.8060016093979679,0.8116354934639873,0.7999564452852361,981.8733556270599,2
